Unnamed: 0,Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Sales_Channel,Quantity,Unit_Price,Discount_PCT,Total_Amount
0,O00000,2024-01-31,C0125,P1086,0,Online,2,80.63,0.05,153.2
1,O00001,2024-09-29,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.0
2,O00002,2023-08-29,C0653,P0659,0,Online,2,218.6,0.1,393.48
3,O00003,2024-05-13,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82
4,O00004,2024-07-22,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94
5,O00005,2024-12-16,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59
6,O00006,2023-09-25,C0532,P1171,S045,In-Store,2,230.62,0.0,461.24
7,O00007,2023-09-27,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51
8,O00008,2024-03-01,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17
9,O00009,2023-12-02,C0174,P0183,0,Online,3,304.66,0.0,913.98
10,O00010,2023-05-03,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65
11,O00011,2024-04-12,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84
12,O00012,2024-11-13,C0708,P0681,S059,In-Store,1,342.55,0.0,342.55
13,O00013,2024-10-05,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64
14,O00014,2024-11-18,C0228,P0530,0,Online,2,274.32,0.0,548.64
15,O00015,2024-05-06,C0348,P0528,S047,In-Store,2,102.08,0.0,204.16
16,O00016,2023-07-16,C0130,P0641,S036,In-Store,1,240.92,0.0,240.92
17,O00017,2025-01-19,C0604,P1096,0,Online,1,214.66,0.2,171.73
18,O00018,2025-03-05,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88
19,O00019,2023-04-28,C0616,P0255,0,Online,10,21.15,0.2,169.20000000000002
20,O00020,2024-03-15,C0471,P0647,0,Online,2,139.35,0.1,250.83
21,O00021,2023-11-27,C0511,P0933,0,Online,2,25.25,0.1,45.45
22,O00022,2024-06-28,C0681,P0070,S019,In-Store,2,235.0,0.0,470.0
23,O00023,2024-10-10,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29
24,O00024,2024-07-16,C0721,P0771,0,Online,2,155.11,0.1,279.2
25,O00025,2024-05-19,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33
26,O00026,2025-03-07,C0053,P0366,S046,In-Store,2,230.23,0.2,368.37
27,O00027,2025-04-03,C0675,P0326,S035,In-Store,2,134.39,0.2,215.02
28,O00028,2023-08-17,C0694,P0969,S048,In-Store,2,171.98,0.2,275.17
29,O00029,2024-07-12,C0540,P0579,0,Online,1,137.64,0.05,130.76
30,O00030,2024-10-21,C0561,P0806,0,Online,1,38.24,0.1,34.42
31,O00031,2024-02-18,C0594,P0110,S045,In-Store,3,280.19,0.1,756.51
32,O00032,2025-01-27,C0167,P1182,0,Online,1,275.08,0.2,220.06
33,O00033,2024-06-19,C0148,P0429,0,Online,1,257.83,0.05,244.94
34,O00034,2024-06-04,C0009,P0741,S036,In-Store,2,25.86,0.0,51.72
35,O00035,2023-09-14,C0151,P0771,S027,In-Store,1,155.11,0.05,147.35
36,O00036,2023-12-14,C0098,P0728,S011,In-Store,3,242.37,0.0,727.11
37,O00037,2024-06-14,C0527,P0693,S009,In-Store,2,147.47,0.2,235.95
38,O00038,2024-11-26,C0121,P0493,S019,In-Store,2,178.11,0.05,338.41
39,O00039,2024-08-18,C0384,P0183,S055,In-Store,1,304.66,0.2,243.73
40,O00040,2023-04-19,C0668,P0911,S007,In-Store,3,298.36,0.0,895.08
41,O00041,2023-12-30,C0500,P1043,0,Online,2,321.82,0.2,514.91
42,O00042,2024-01-13,C0763,P0193,S011,In-Store,1,62.96,0.2,50.37
43,O00043,2024-05-28,C0660,P0888,0,Online,2,99.91,0.05,189.83
44,O00044,2023-12-09,C0065,P1100,0,Online,1,74.54,0.0,74.54
45,O00045,2024-05-10,C0549,P1085,S033,In-Store,2,42.67,0.0,85.34
46,O00046,2025-02-09,C0212,P0240,0,Online,10,85.49,0.05,812.2
47,O00047,2023-08-01,C0457,P0643,0,Online,1,252.43,0.05,239.81
48,O00048,2024-08-29,C0668,P0330,0,Online,1,355.55,0.1,320.0
49,O00049,2024-05-02,C0035,P0173,S032,In-Store,3,209.18,0.1,564.79
50,O00050,2023-07-13,C0557,P0351,S017,In-Store,1,170.33,0.0,170.33
51,O00051,2024-07-05,C0047,P1063,S018,In-Store,3,71.55,0.2,171.72
52,O00052,2023-06-07,C0502,P0640,S022,In-Store,1,215.37,0.05,204.6
53,O00053,2023-10-19,C0678,P0091,0,Online,1,27.29,0.05,25.93
54,O00054,2023-07-20,C0220,P0274,S013,In-Store,1,285.95,0.1,257.36
55,O00055,2023-05-12,C0746,P0864,0,Online,3,113.48,0.1,306.4
56,O00056,2023-05-27,C0665,P0334,S005,In-Store,1,135.83,0.1,122.25
57,O00057,2024-03-30,C0711,P0293,S004,In-Store,1,259.84,0.1,233.86
58,O00058,2023-08-24,C0713,P0394,S036,In-Store,2,219.0,0.05,416.1
59,O00059,2023-11-06,C0157,P0647,S027,In-Store,2,139.35,0.2,222.96
60,O00060,2024-04-19,C0618,P0506,0,Online,3,76.44,0.0,229.32
61,O00061,2025-01-03,C0700,P1123,S021,In-Store,3,75.06,0.0,225.18
62,O00062,2024-03-09,C0341,P0559,0,Online,1,286.97,0.05,272.62
63,O00063,2023-06-22,C0100,P0772,S014,In-Store,1,121.36,0.2,97.09
64,O00064,2023-08-20,C0596,P0252,0,Online,1,231.15,0.1,208.03
65,O00065,2023-07-17,C0501,P0195,S044,In-Store,2,151.18,0.1,272.12
66,O00066,2023-11-01,C0622,P0202,S010,In-Store,1,218.6,0.1,196.74
67,O00067,2025-02-04,C0398,P0370,S047,In-Store,1,106.39,0.2,85.11
68,O00068,2024-06-12,C0130,P0530,0,Online,2,274.32,0.05,521.21
69,O00069,2025-02-13,C0146,P0775,S017,In-Store,1,22.99,0.0,22.99
70,O00070,2025-02-22,C0654,P0758,S015,In-Store,2,218.78,0.2,350.05
71,O00071,2023-07-12,C0187,P0898,S051,In-Store,1,204.25,0.2,163.4
72,O00072,2023-05-01,C0282,P0876,S045,In-Store,1,181.91,0.05,172.81
73,O00073,2024-05-04,C0089,P0625,S020,In-Store,1,249.56,0.0,249.56
74,O00074,2024-11-24,C0078,P0491,S010,In-Store,2,205.2,0.0,410.4
75,O00075,2023-12-14,C0292,P1134,S051,In-Store,3,40.51,0.0,121.53
76,O00076,2023-10-29,C0434,P1041,S008,In-Store,1,127.15,0.2,101.72
77,O00077,2024-09-09,C0701,P1090,S025,In-Store,1,32.87,0.0,32.87
78,O00078,2024-06-02,C0763,P0014,0,In-Store,1,34.42,0.1,30.98
79,O00079,2024-01-06,C0756,P1081,S002,In-Store,1,26.3,0.2,21.04
80,O00080,2023-10-22,C0690,P1072,S011,In-Store,1,200.65,0.0,200.65
81,O00081,2024-03-11,C0136,P1052,S003,In-Store,1,190.93,0.2,152.74
82,O00082,2024-05-13,C0174,P0764,S021,In-Store,1,241.25,0.05,229.19
83,O00083,2023-06-05,C0784,P0241,0,Online,1,195.47,0.2,156.38
84,O00084,2024-11-05,C0218,P0004,S036,In-Store,2,88.47,0.2,141.55
85,O00085,2024-03-15,C0312,P1055,S002,In-Store,2,200.83,0.2,321.33
86,O00086,2023-06-20,C0499,P0117,S039,In-Store,1,197.56,0.2,158.05
87,O00087,2023-09-12,C0362,P0219,0,Online,2,125.63,0.05,238.7
88,O00088,2024-05-31,C0009,P0207,S012,In-Store,1,176.19,0.0,176.19
89,O00089,2023-05-04,C0157,P0841,0,Online,10,101.01,0.2,808.1
90,O00090,2024-09-19,C0787,P0512,0,Online,3,258.13,0.2,619.51
91,O00091,2023-08-26,C0373,P0877,S034,In-Store,3,238.06,0.1,642.76
92,O00092,2024-03-01,C0449,P0899,0,Online,1,118.47,0.1,106.62
93,O00093,2024-03-18,C0005,P0735,S045,In-Store,2,196.86,0.05,374.03
94,O00094,2024-11-25,C0291,P0082,0,Online,2,177.36,0.2,283.78
95,O00095,2024-02-27,C0032,P0328,S017,In-Store,1,126.04,0.2,100.83
96,O00096,2024-04-14,C0272,P0243,S035,In-Store,2,62.91,0.2,100.66
97,O00097,2025-02-15,C0731,P0260,S048,In-Store,3,116.29,0.2,279.1
98,O00098,2023-05-30,C0759,P0796,0,Online,1,87.96,0.0,87.96
99,O00099,2024-09-06,C0129,P0318,S000,In-Store,1,80.1,0.05,76.09
100,O00100,2024-02-29,C0350,P0879,S047,In-Store,3,168.21,0.0,504.63
101,O00101,2024-12-17,C0296,P0577,S048,In-Store,2,309.01,0.2,494.42
102,O00102,2024-09-21,C0156,P1047,0,Online,2,126.31,0.1,227.36
103,O00103,2025-01-13,C0269,P0506,S027,In-Store,2,76.44,0.05,145.24
104,O00104,2024-12-04,C0596,P0211,S032,In-Store,2,143.29,0.05,272.25
105,O00105,2023-07-25,C0605,P0304,0,Online,1,138.55,0.05,131.62
106,O00106,2024-08-19,C0280,P0393,S027,In-Store,3,301.95,0.0,905.85
107,O00107,2024-12-19,C0093,P0104,S033,In-Store,3,237.61,0.1,641.55
108,O00108,2023-07-16,C0236,P0454,S030,In-Store,1,57.81,0.0,57.81
109,O00109,2023-05-01,C0659,P0105,S017,In-Store,1,49.07,0.1,44.16
110,O00110,2023-10-16,C0359,P0856,0,Online,1,72.18,0.0,72.18
111,O00111,2024-06-23,C0000,P0106,S020,In-Store,2,117.1,0.05,222.49
112,O00112,2024-09-12,C0286,P0206,0,In-Store,2,44.72,0.2,71.55
113,O00113,2024-05-11,C0311,P0228,0,Online,1,59.1,0.0,59.1
114,O00114,2025-03-26,C0788,P0266,S047,In-Store,3,273.92,0.1,739.58
115,O00115,2025-02-03,C0603,P1083,S015,In-Store,1,186.78,0.1,168.1
116,O00116,2024-09-07,C0393,P0178,S008,In-Store,2,129.07,0.0,258.14
117,O00117,2024-09-09,C0670,P0390,0,Online,1,178.02,0.2,142.42
118,O00118,2024-06-14,C0076,P1119,S019,In-Store,1,64.93,0.2,51.94
119,O00119,2024-08-13,C0206,P1092,S002,In-Store,1,48.28,0.05,45.87
120,O00120,2023-12-29,C0563,P0517,S048,In-Store,2,203.43,0.1,366.17
121,O00121,2025-03-01,C0459,P0240,S004,In-Store,1,85.49,0.2,68.39
122,O00122,2023-07-03,C0515,P0044,0,Online,1,22.6,0.1,20.34
123,O00123,2024-06-24,C0132,P0593,0,Online,2,71.58,0.0,143.16
124,O00124,2023-11-16,C0710,P0389,S025,In-Store,1,277.24,0.2,221.79
125,O00125,2024-05-25,C0525,P0153,0,Online,1,56.67,0.2,45.34
126,O00126,2024-04-19,C0399,P0820,S013,In-Store,30,310.73,0.05,8855.800000000001
127,O00127,2023-08-13,C0585,P0446,S000,In-Store,3,89.71,0.2,215.3
128,O00128,2023-08-16,C0737,P1075,0,Online,1,285.01,0.05,270.76
129,O00129,2024-02-24,C0274,P1130,0,Online,2,208.54,0.05,396.23
130,O00130,2023-05-03,C0243,P0597,0,Online,1,105.66,0.05,100.38
131,O00131,2024-05-15,C0284,P0272,0,Online,2,43.92,0.0,87.84
132,O00132,2024-01-28,C0254,P0430,S000,In-Store,2,126.13,0.1,227.03
133,O00133,2023-04-14,C0377,P0664,0,Online,1,191.74,0.1,172.57
134,O00134,2025-01-16,C0418,P0603,S003,In-Store,1,31.8,0.0,31.8
135,O00135,2023-05-07,C0224,P0572,0,Online,1,271.22,0.0,271.22
